Variable,Protein,Protein_meaning,Protein_panel
hk2,HK2,Hexokinase-2,Cardiometabolic
hla_a,HLA-A,"HLA class I histocompatibility antigen, A alpha chain",Neurology_II
hla_dra,HLA-DRA,"HLA class II histocompatibility antigen, DR alpha chain",Inflammation
hla_e,HLA-E,"HLA class I histocompatibility antigen, alpha chain E",Inflammation
hmbs,HMBS,Porphobilinogen deaminase,Oncology
hmcn2,HMCN2,Hemicentin-2,Inflammation_II
hmgcl,HMGCL,"Hydroxymethylglutaryl-CoA lyase, mitochondrial",Cardiometabolic_II
hmgcs1,HMGCS1,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic",Cardiometabolic_II
hmmr,HMMR,Hyaluronan mediated motility receptor,Oncology_II
hmox1,HMOX1,Heme oxygenase 1,Cardiometabolic
hmox2,HMOX2,Heme oxygenase 2,Neurology
hnf1a,HNF1A,Hepatocyte nuclear factor 1-alpha,Neurology_II
hnmt,HNMT,Histamine N-methyltransferase,Neurology
hnrnpk,HNRNPK,Heterogeneous nuclear ribonucleoprotein K,Cardiometabolic
hnrnpul1,HNRNPUL1,Heterogeneous nuclear ribonucleoprotein U-like protein 1,Neurology_II
hpcal1,HPCAL1,Hippocalcin-like protein 1,Inflammation
hpgds,HPGDS,Hematopoietic prostaglandin D synthase,Oncology
hpse,HPSE,Heparanase,Cardiometabolic_II
hras,HRAS,GTPase Hras,Oncology_II
hrc,HRC,Sarcoplasmic reticulum histidine-rich calcium-binding protein,Cardiometabolic_II
hrg,HRG,Histidine-rich glycoprotein,Inflammation_II
hs1bp3,HS1BP3,HCLS1-binding protein 3,Cardiometabolic_II
hs3st3b1,HS3ST3B1,Heparan sulfate glucosamine 3-O-sulfotransferase 3B1,Oncology
hs6st1,HS6ST1,Heparan-sulfate 6-O-sulfotransferase 1,Oncology
hs6st2,HS6ST2,Heparan-sulfate 6-O-sulfotransferase 2,Inflammation_II
hsbp1,HSBP1,Heat shock factor-binding protein 1,Cardiometabolic_II
hsd11b1,HSD11B1,Corticosteroid 11-beta-dehydrogenase isozyme 1,Inflammation
hsd17b14,HSD17B14,17-beta-hydroxysteroid dehydrogenase 14,Neurology_II
hsd17b3,HSD17B3,Testosterone 17-beta-dehydrogenase 3,Cardiometabolic_II
hsdl2,HSDL2,Hydroxysteroid dehydrogenase-like protein 2,Cardiometabolic_II
hsp90b1,HSP90B1,Endoplasmin,Neurology
hspa1a,HSPA1A,Heat shock 70 kDa protein 1A,Inflammation
hspa2,HSPA2,Heat shock-related 70 kDa protein 2,Oncology_II
hspb1,HSPB1,Heat shock protein beta-1,Cardiometabolic
hspb6,HSPB6,Heat shock protein beta-6,Oncology
hspg2,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,Cardiometabolic
htr1a,HTR1A,5-hydroxytryptamine receptor 1A,Neurology_II
htr1b,HTR1B,5-hydroxytryptamine receptor 1B,Neurology_II
htra2,HTRA2,"Serine protease HTRA2, mitochondrial",Oncology
hyal1,HYAL1,Hyaluronidase-1,Cardiometabolic
hyou1,HYOU1,Hypoxia up-regulated protein 1,Cardiometabolic
ica1,ICA1,Islet cell autoantigen 1,Inflammation
icam1,ICAM1,Intercellular adhesion molecule 1,Cardiometabolic
icam2,ICAM2,Intercellular adhesion molecule 2,Cardiometabolic
icam3,ICAM3,Intercellular adhesion molecule 3,Cardiometabolic
icam4,ICAM4,Intercellular adhesion molecule 4,Inflammation
icam5,ICAM5,Intercellular adhesion molecule 5,Cardiometabolic
icoslg,ICOSLG,ICOS ligand,Oncology
id4,ID4,DNA-binding protein inhibitor ID-4,Oncology_II
idi2,IDI2,Isopentenyl-diphosphate delta-isomerase 2,Neurology
ido1,IDO1,"Indoleamine 2,3-dioxygenase 1",Cardiometabolic_II
ids,IDS,Iduronate 2-sulfatase,Inflammation
idua,IDUA,Alpha-L-iduronidase,Oncology
ifi30,IFI30,Gamma-interferon-inducible lysosomal thiol reductase,Oncology_II
ifit1,IFIT1,Interferon-induced protein with tetratricopeptide repeats 1,Oncology_II
ifit3,IFIT3,Interferon-induced protein with tetratricopeptide repeats 3,Oncology_II
ifnar1,IFNAR1,Interferon alpha/beta receptor 1,Oncology_II
ifng,IFNG,Interferon gamma,Inflammation
ifngr1,IFNGR1,Interferon gamma receptor 1,Inflammation
ifngr2,IFNGR2,Interferon gamma receptor 2,Neurology
ifnl1,IFNL1,Interferon lambda-1,Neurology
ifnl2,IFNL2,Interferon lambda-2,Neurology_II
ifnlr1,IFNLR1,Interferon lambda receptor 1,Inflammation
ifnw1,IFNW1,Interferon omega-1,Cardiometabolic_II
ift20,IFT20,Intraflagellar transport protein 20 homolog,Neurology_II
igbp1,IGBP1,Immunoglobulin-binding protein 1,Neurology_II
igdcc3,IGDCC3,Immunoglobulin superfamily DCC subclass member 3,Neurology_II
igdcc4,IGDCC4,Immunoglobulin superfamily DCC subclass member 4,Cardiometabolic_II
igf1r,IGF1R,Insulin-like growth factor 1 receptor,Oncology
igf2bp3,IGF2BP3,Insulin-like growth factor 2 mRNA-binding protein 3,Cardiometabolic_II
igf2r,IGF2R,Cation-independent mannose-6-phosphate receptor,Neurology
igfbp1,IGFBP1,Insulin-like growth factor-binding protein 1,Cardiometabolic
igfbp2,IGFBP2,Insulin-like growth factor-binding protein 2,Cardiometabolic
igfbp3,IGFBP3,Insulin-like growth factor-binding protein 3,Cardiometabolic
igfbp4,IGFBP4,Insulin-like growth factor-binding protein 4,Neurology
igfbp6,IGFBP6,Insulin-like growth factor-binding protein 6,Cardiometabolic
igfbp7,IGFBP7,Insulin-like growth factor-binding protein 7,Cardiometabolic
igfbpl1,IGFBPL1,Insulin-like growth factor-binding protein-like 1,Cardiometabolic
igfl4,IGFL4,Insulin growth factor-like family member 4,Inflammation_II
ighmbp2,IGHMBP2,DNA-binding protein SMUBP-2,Cardiometabolic_II
iglc2,IGLC2,Immunoglobulin lambda constant 2,Inflammation_II
iglon5,IGLON5,IgLON family member 5,Oncology_II
igsf21,IGSF21,Immunoglobulin superfamily member 21,Cardiometabolic_II
igsf3,IGSF3,Immunoglobulin superfamily member 3,Oncology
igsf8,IGSF8,Immunoglobulin superfamily member 8,Cardiometabolic
igsf9,IGSF9,Protein turtle homolog A,Cardiometabolic_II
ikbkg,IKBKG,NF-kappa-B essential modulator,Inflammation
ikzf2,IKZF2,Zinc finger protein Helios,Oncology
il10,IL10,Interleukin-10,Inflammation
il10ra,IL10RA,Interleukin-10 receptor subunit alpha,Inflammation
il10rb,IL10RB,Interleukin-10 receptor subunit beta,Inflammation
il11,IL11,Interleukin-11,Inflammation
il12a_il12b,IL12A_IL12B,Interleukin-12,Oncology
il12b,IL12B,Interleukin-12 subunit beta,Inflammation
il12rb1,IL12RB1,Interleukin-12 receptor subunit beta-1,Inflammation
il12rb2,IL12RB2,Interleukin-12 receptor subunit beta-2,Inflammation_II
il13,IL13,Interleukin-13,Inflammation
il13ra1,IL13RA1,Interleukin-13 receptor subunit alpha-1,Oncology
il13ra2,IL13RA2,Interleukin-13 receptor subunit alpha-2,Neurology_II
il15,IL15,Interleukin-15,Inflammation
il15ra,IL15RA,Interleukin-15 receptor subunit alpha,Inflammation
il16,IL16,Pro-interleukin-16,Inflammation
il17a,IL17A,Interleukin-17A,Inflammation
il17c,IL17C,Interleukin-17C,Inflammation
il17d,IL17D,Interleukin-17D,Inflammation
il17f,IL17F,Interleukin-17F,Inflammation
il17ra,IL17RA,Interleukin-17 receptor A,Neurology
il17rb,IL17RB,Interleukin-17 receptor B,Inflammation
il18,IL18,Interleukin-18,Inflammation
il18bp,IL18BP,Interleukin-18-binding protein,Cardiometabolic
il18r1,IL18R1,Interleukin-18 receptor 1,Inflammation
il18rap,IL18RAP,Interleukin-18 receptor accessory protein,Neurology
il19,IL19,Interleukin-19,Cardiometabolic
il1a,IL1A,Interleukin-1 alpha,Inflammation
il1b,IL1B,Interleukin-1 beta,Inflammation
il1r1,IL1R1,Interleukin-1 receptor type 1,Neurology
il1r2,IL1R2,Interleukin-1 receptor type 2,Inflammation
il1rap,IL1RAP,Interleukin-1 receptor accessory protein,Neurology
il1rl1,IL1RL1,Interleukin-1 receptor-like 1,Cardiometabolic
il1rl2,IL1RL2,Interleukin-1 receptor-like 2,Inflammation
il1rn,IL1RN,Interleukin-1 receptor antagonist protein,Inflammation
il2,IL2,Interleukin-2,Inflammation
il20,IL20,Interleukin-20,Inflammation
il20ra,IL20RA,Interleukin-20 receptor subunit alpha,Inflammation
il20rb,IL20RB,Interleukin-20 receptor subunit beta,Inflammation_II
il21r,IL21R,Interleukin-21 receptor,Inflammation_II
il22,IL22,Interleukin-22,Oncology_II
il22ra1,IL22RA1,Interleukin-22 receptor subunit alpha-1,Inflammation
il24,IL24,Interleukin-24,Inflammation
il25,IL25,Interleukin-25,Oncology_II
il2ra,IL2RA,Interleukin-2 receptor subunit alpha,Cardiometabolic
il2rb,IL2RB,Interleukin-2 receptor subunit beta,Inflammation
il2rg,IL2RG,Cytokine receptor common subunit gamma,Oncology_II
il3,IL3,Interleukin-3,Oncology_II
il31,IL31,Interleukin-31,Inflammation_II
il31ra,IL31RA,Interleukin-31 receptor subunit alpha,Inflammation_II
il32,IL32,Interleukin-32,Inflammation
il33,IL33,Interleukin-33,Inflammation
il34,IL34,Interleukin-34,Neurology
il36a,IL36A,Interleukin-36 alpha,Inflammation_II
il36g,IL36G,Interleukin-36 gamma,Inflammation_II
il3ra,IL3RA,Interleukin-3 receptor subunit alpha,Inflammation
il4,IL4,Interleukin-4,Inflammation
il4r,IL4R,Interleukin-4 receptor subunit alpha,Inflammation
il5,IL5,Interleukin-5,Inflammation
il5ra,IL5RA,Interleukin-5 receptor subunit alpha,Inflammation
il6,IL6,Interleukin-6,Oncology
il6r,IL6R,Interleukin-6 receptor subunit alpha,Cardiometabolic
il6st,IL6ST,Interleukin-6 receptor subunit beta,Cardiometabolic
il7,IL7,Interleukin-7,Inflammation
il7r,IL7R,Interleukin-7 receptor subunit alpha,Neurology
il9,IL9,Interleukin-9,Oncology_II
ilkap,ILKAP,Integrin-linked kinase-associated serine/threonine phosphatase 2C,Neurology
immt,IMMT,MICOS complex subunit MIC60,Oncology_II
impa1,IMPA1,Inositol monophosphatase 1,Neurology
impact,IMPACT,Protein IMPACT,Neurology_II
impg1,IMPG1,Interphotoreceptor matrix proteoglycan 1,Neurology_II
ing1,ING1,Inhibitor of growth protein 1,Neurology
inhbb,INHBB,Inhibin beta B chain,Inflammation_II
inhbc,INHBC,Inhibin beta C chain,Neurology
inpp1,INPP1,Inositol polyphosphate 1-phosphatase,Oncology
inpp5d,INPP5D,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1",Cardiometabolic_II
inpp5j,INPP5J,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A",Neurology_II
inppl1,INPPL1,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",Oncology
insl3,INSL3,Insulin-like 3,Neurology_II
insl4,INSL4,Early placenta insulin-like peptide,Oncology_II
insl5,INSL5,Insulin-like peptide INSL5,Oncology_II
insr,INSR,Insulin receptor,Inflammation_II
ipcef1,IPCEF1,Interactor protein for cytohesin exchange factors 1,Neurology
iqgap2,IQGAP2,Ras GTPase-activating-like protein IQGAP2,Oncology
irag2,IRAG2,"Inositol 1,4,5-triphosphate receptor associated 2",Cardiometabolic
irak1,IRAK1,Interleukin-1 receptor-associated kinase 1,Inflammation
irak4,IRAK4,Interleukin-1 receptor-associated kinase 4,Inflammation
islr2,ISLR2,Immunoglobulin superfamily containing leucine-rich repeat protein 2,Neurology
ism1,ISM1,Isthmin-1,Inflammation
ism2,ISM2,Isthmin-2,Cardiometabolic_II
ist1,IST1,IST1 homolog,Oncology_II
itga11,ITGA11,Integrin alpha-11,Inflammation
itga2,ITGA2,Integrin alpha-2,Inflammation_II
itga5,ITGA5,Integrin alpha-5,Neurology
itga6,ITGA6,Integrin alpha-6,Inflammation
itgal,ITGAL,Integrin alpha-L,Inflammation_II
itgam,ITGAM,Integrin alpha-M,Neurology
itgav,ITGAV,Integrin alpha-V,Oncology
itgax,ITGAX,Integrin alpha-X,Oncology_II
itgb1,ITGB1,Integrin beta-1,Cardiometabolic
itgb1bp1,ITGB1BP1,Integrin beta-1-binding protein 1,Oncology
itgb1bp2,ITGB1BP2,Integrin beta-1-binding protein 2,Cardiometabolic
itgb2,ITGB2,Integrin beta-2,Cardiometabolic
itgb5,ITGB5,Integrin beta-5,Oncology
itgb6,ITGB6,Integrin beta-6,Inflammation
itgb7,ITGB7,Integrin beta-7,Oncology
itgbl1,ITGBL1,Integrin beta-like protein 1,Cardiometabolic_II
itih1,ITIH1,Inter-alpha-trypsin inhibitor heavy chain H1,Inflammation_II
itih3,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,Cardiometabolic
itih4,ITIH4,Inter-alpha-trypsin inhibitor heavy chain H4,Inflammation_II
itih5,ITIH5,Inter-alpha-trypsin inhibitor heavy chain H5,Oncology_II
itm2a,ITM2A,Integral membrane protein 2A,Inflammation
itpa,ITPA,Inosine triphosphate pyrophosphatase,Cardiometabolic_II
itpr1,ITPR1,"Inositol 1,4,5-trisphosphate receptor type 1",Cardiometabolic_II
itprip,ITPRIP,"Inositol 1,4,5-trisphosphate receptor-interacting protein",Neurology_II
ivd,IVD,"Isovaleryl-CoA dehydrogenase, mitochondrial",Neurology
izumo1,IZUMO1,Izumo sperm-egg fusion protein 1,Oncology_II
jam2,JAM2,Junctional adhesion molecule B,Neurology
jam3,JAM3,Junctional adhesion molecule C,Inflammation_II
jchain,JCHAIN,Immunoglobulin J chain,Inflammation
jmjd1c,JMJD1C,Probable JmjC domain-containing histone demethylation protein 2C,Oncology_II
jpt2,JPT2,Jupiter microtubule associated homolog 2,Oncology_II
jun,JUN,Transcription factor AP-1,Inflammation
kazald1,KAZALD1,Kazal-type serine protease inhibitor domain-containing protein 1,Oncology
kazn,KAZN,Kazrin,Oncology_II
kcnc4,KCNC4,Potassium voltage-gated channel subfamily C member 4,Neurology_II
kcnh2,KCNH2,Potassium voltage-gated channel subfamily H member 2,Neurology_II
kcnip4,KCNIP4,Kv channel-interacting protein 4,Neurology
kctd5,KCTD5,BTB/POZ domain-containing protein KCTD5,Neurology_II
kdm3a,KDM3A,Lysine-specific demethylase 3A,Inflammation_II
kdr,KDR,Vascular endothelial growth factor receptor 2,Oncology
kel,KEL,Kell blood group glycoprotein,Neurology
khdc3l,KHDC3L,KH domain-containing protein 3,Oncology_II
khk,KHK,Ketohexokinase,Cardiometabolic_II
kiaa0319,KIAA0319,Dyslexia-associated protein KIAA0319,Neurology_II
kiaa1549,KIAA1549,UPF0606 protein KIAA1549,Oncology_II
kiaa1549l,KIAA1549L,UPF0606 protein KIAA1549L,Oncology_II
kiaa2013,KIAA2013,Uncharacterized protein KIAA2013,Oncology_II
kif1c,KIF1C,Kinesin-like protein KIF1C,Cardiometabolic_II
kif20b,KIF20B,Kinesin-like protein KIF20B,Neurology_II
kif22,KIF22,Kinesin-like protein KIF22,Cardiometabolic_II
kifbp,KIFBP,KIF-binding protein,Oncology
kir2dl2,KIR2DL2,Killer cell immunoglobulin-like receptor 2DL2,Oncology_II
kir2dl3,KIR2DL3,Killer cell immunoglobulin-like receptor 2DL3,Oncology
kir2ds4,KIR2DS4,Killer cell immunoglobulin-like receptor 2DS4,Oncology_II
kir3dl1,KIR3DL1,Killer cell immunoglobulin-like receptor 3DL1,Oncology
kir3dl2,KIR3DL2,Killer cell immunoglobulin-like receptor 3DL2,Oncology_II
kirrel1,KIRREL1,Kin of IRRE-like protein 1,Neurology_II
kirrel2,KIRREL2,Kin of IRRE-like protein 2,Neurology
kit,KIT,Mast/stem cell growth factor receptor Kit,Cardiometabolic
kitlg,KITLG,Kit ligand,Cardiometabolic
klb,KLB,Beta-klotho,Neurology
klf4,KLF4,Krueppel-like factor 4,Neurology_II
klhl41,KLHL41,Kelch-like protein 41,Neurology_II
klk1,KLK1,Kallikrein-1,Oncology
klk10,KLK10,Kallikrein-10,Oncology
klk11,KLK11,Kallikrein-11,Oncology
klk12,KLK12,Kallikrein-12,Oncology
klk13,KLK13,Kallikrein-13,Oncology
klk14,KLK14,Kallikrein-14,Oncology
klk15,KLK15,Kallikrein-15,Oncology_II
klk3,KLK3,Prostate-specific antigen,Cardiometabolic_II
klk4,KLK4,Kallikrein-4,Oncology
klk6,KLK6,Kallikrein-6,Oncology
klk7,KLK7,Kallikrein-7,Inflammation_II
klk8,KLK8,Kallikrein-8,Oncology
klkb1,KLKB1,Plasma kallikrein,Inflammation_II
klrb1,KLRB1,Killer cell lectin-like receptor subfamily B member 1,Inflammation
klrc1,KLRC1,NKG2-A/NKG2-B type II integral membrane protein,Neurology_II
klrd1,KLRD1,Natural killer cells antigen CD94,Inflammation
klrf1,KLRF1,Killer cell lectin-like receptor subfamily F member 1,Inflammation_II
klrk1,KLRK1,NKG2-D type II integral membrane protein,Neurology_II
krt14,KRT14,"Keratin, type I cytoskeletal 14",Neurology
krt17,KRT17,"Keratin, type I cytoskeletal 17",Cardiometabolic_II
krt18,KRT18,"Keratin, type I cytoskeletal 18",Oncology
krt19,KRT19,"Keratin, type I cytoskeletal 19",Inflammation
krt5,KRT5,"Keratin, type II cytoskeletal 5",Neurology
krt6c,KRT6C,"Keratin, type II cytoskeletal 6C",Cardiometabolic_II
krt8,KRT8,"Keratin, type II cytoskeletal 8",Neurology_II
kyat1,KYAT1,Kynurenine--oxoglutarate transaminase 1,Cardiometabolic
kynu,KYNU,Kynureninase,Inflammation
l1cam,L1CAM,Neural cell adhesion molecule L1,Oncology
l3hypdh,L3HYPDH,Trans-3-hydroxy-L-proline dehydratase,Cardiometabolic_II
lacrt,LACRT,Extracellular glycoprotein lacritin,Oncology_II
lactb2,LACTB2,Endoribonuclease LACTB2,Cardiometabolic
lag3,LAG3,Lymphocyte activation gene 3 protein,Oncology
lair1,LAIR1,Leukocyte-associated immunoglobulin-like receptor 1,Inflammation
lair2,LAIR2,Leukocyte-associated immunoglobulin-like receptor 2,Neurology
lama1,LAMA1,Laminin subunit alpha-1,Cardiometabolic_II
lama4,LAMA4,Laminin subunit alpha-4,Inflammation
lamb1,LAMB1,Laminin subunit beta-1,Cardiometabolic_II
lamp1,LAMP1,Lysosome-associated membrane glycoprotein 1,Cardiometabolic_II
lamp2,LAMP2,Lysosome-associated membrane glycoprotein 2,Neurology
lamp3,LAMP3,Lysosome-associated membrane glycoprotein 3,Inflammation
lamtor5,LAMTOR5,Ragulator complex protein LAMTOR5,Oncology_II
lap3,LAP3,Cytosol aminopeptidase,Inflammation
larp1,LARP1,La-related protein 1,Oncology_II
lat,LAT,Linker for activation of T-cells family member 1,Inflammation
lat2,LAT2,Linker for activation of T-cells family member 2,Oncology
lats1,LATS1,Serine/threonine-protein kinase LATS1,Inflammation_II
layn,LAYN,Layilin,Neurology
lbp,LBP,Lipopolysaccharide-binding protein,Cardiometabolic
lbr,LBR,Delta(14)-sterol reductase LBR,Neurology
lcat,LCAT,Phosphatidylcholine-sterol acyltransferase,Inflammation_II
lcn15,LCN15,Lipocalin-15,Neurology_II
lcn2,LCN2,Neutrophil gelatinase-associated lipocalin,Cardiometabolic
lcp1,LCP1,Plastin-2,Cardiometabolic_II
ldlr,LDLR,Low-density lipoprotein receptor,Cardiometabolic
ldlrap1,LDLRAP1,Low density lipoprotein receptor adapter protein 1,Neurology_II
lect2,LECT2,Leukocyte cell-derived chemotaxin-2,Cardiometabolic_II
lefty2,LEFTY2,Left-right determination factor 2,Oncology
leg1,LEG1,Protein LEG1 homolog,Inflammation_II
lelp1,LELP1,Late cornified envelope-like proline-rich protein 1,Neurology_II
leo1,LEO1,RNA polymerase-associated protein LEO1,Neurology_II
lep,LEP,Leptin,Cardiometabolic
lepr,LEPR,Leptin receptor,Cardiometabolic
letm1,LETM1,Mitochondrial proton/calcium exchanger protein,Neurology_II
lgals1,LGALS1,Galectin-1,Cardiometabolic
lgals3,LGALS3,Galectin-3,Cardiometabolic
lgals3bp,LGALS3BP,Galectin-3-binding protein,Inflammation_II
lgals4,LGALS4,Galectin-4,Inflammation
lgals7_lgals7b,LGALS7_LGALS7B,Galectin-7,Oncology
lgals8,LGALS8,Galectin-8,Neurology
lgals9,LGALS9,Galectin-9,Inflammation
lgmn,LGMN,Legumain,Inflammation
lhb,LHB,Lutropin subunit beta,Oncology
lhpp,LHPP,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase,Inflammation
lif,LIF,Leukemia inhibitory factor,Neurology
lifr,LIFR,Leukemia inhibitory factor receptor,Inflammation
lilra2,LILRA2,Leukocyte immunoglobulin-like receptor subfamily A member 2,Neurology
lilra3,LILRA3,Leukocyte immunoglobulin-like receptor subfamily A member 3,Cardiometabolic_II
lilra4,LILRA4,Leukocyte immunoglobulin-like receptor subfamily A member 4,Cardiometabolic_II
lilra5,LILRA5,Leukocyte immunoglobulin-like receptor subfamily A member 5,Cardiometabolic
lilra6,LILRA6,Leukocyte immunoglobulin-like receptor subfamily A member 6,Cardiometabolic_II
lilrb1,LILRB1,Leukocyte immunoglobulin-like receptor subfamily B member 1,Cardiometabolic
lilrb2,LILRB2,Leukocyte immunoglobulin-like receptor subfamily B member 2,Cardiometabolic
lilrb4,LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,Inflammation
lilrb5,LILRB5,Leukocyte immunoglobulin-like receptor subfamily B member 5,Cardiometabolic
lipf,LIPF,Gastric triacylglycerol lipase,Cardiometabolic_II
lmnb1,LMNB1,Lamin-B1,Oncology_II
lmnb2,LMNB2,Lamin-B2,Neurology_II
lmod1,LMOD1,Leiomodin-1,Neurology_II
lmod2,LMOD2,Leiomodin-2,Neurology_II
lonp1,LONP1,"Lon protease homolog, mitochondrial",Cardiometabolic_II
lpa,LPA,Apolipoprotein(a),Inflammation_II
lpcat2,LPCAT2,Lysophosphatidylcholine acyltransferase 2,Oncology
lpl,LPL,Lipoprotein lipase,Cardiometabolic
lpo,LPO,Lactoperoxidase,Neurology
lpp,LPP,Lipoma-preferred partner,Cardiometabolic_II
lrch4,LRCH4,Leucine-rich repeat and calponin homology domain-containing protein 4,Cardiometabolic_II
lrfn2,LRFN2,Leucine-rich repeat and fibronectin type-III domain-containing protein 2,Neurology_II
lrg1,LRG1,Leucine-rich alpha-2-glycoprotein,Inflammation_II
lrig1,LRIG1,Leucine-rich repeats and immunoglobulin-like domains protein 1,Oncology
lrig3,LRIG3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Inflammation_II
lrp1,LRP1,Prolow-density lipoprotein receptor-related protein 1,Oncology
lrp11,LRP11,Low-density lipoprotein receptor-related protein 11,Cardiometabolic
lrp2,LRP2,Low-density lipoprotein receptor-related protein 2,Neurology_II
lrp2bp,LRP2BP,LRP2-binding protein,Neurology_II
lrpap1,LRPAP1,Alpha-2-macroglobulin receptor-associated protein,Neurology
lrrc25,LRRC25,Leucine-rich repeat-containing protein 25,Oncology
lrrc37a2,LRRC37A2,Leucine-rich repeat-containing protein 37A2,Oncology_II
lrrc38,LRRC38,Leucine-rich repeat-containing protein 38,Neurology_II
lrrc59,LRRC59,Leucine-rich repeat-containing protein 59,Cardiometabolic_II
lrrfip1,LRRFIP1,Leucine-rich repeat flightless-interacting protein 1,Oncology_II
lrrn1,LRRN1,Leucine-rich repeat neuronal protein 1,Inflammation
lrtm1,LRTM1,Leucine-rich repeat and transmembrane domain-containing protein 1,Neurology_II
lrtm2,LRTM2,Leucine-rich repeat and transmembrane domain-containing protein 2,Neurology_II
lsm1,LSM1,U6 snRNA-associated Sm-like protein LSm1,Oncology
lsm8,LSM8,U6 snRNA-associated Sm-like protein LSm8,Oncology_II
lsp1,LSP1,Lymphocyte-specific protein 1,Inflammation
lta,LTA,Lymphotoxin-alpha,Inflammation
lta4h,LTA4H,Leukotriene A-4 hydrolase,Oncology
ltb,LTB,Lymphotoxin-beta,Oncology_II
ltbp2,LTBP2,Latent-transforming growth factor beta-binding protein 2,Cardiometabolic
ltbp3,LTBP3,Latent-transforming growth factor beta-binding protein 3,Oncology
ltbr,LTBR,Tumor necrosis factor receptor superfamily member 3,Inflammation
lto1,LTO1,Protein LTO1 homolog,Inflammation
luzp2,LUZP2,Leucine zipper protein 2,Oncology_II
lxn,LXN,Latexin,Neurology
ly6d,LY6D,Lymphocyte antigen 6D,Inflammation
ly75,LY75,Lymphocyte antigen 75,Inflammation
ly9,LY9,T-lymphocyte surface antigen Ly-9,Inflammation
ly96,LY96,Lymphocyte antigen 96,Neurology
lyar,LYAR,Cell growth-regulating nucleolar protein,Oncology
lyn,LYN,Tyrosine-protein kinase Lyn,Oncology
lypd1,LYPD1,Ly6/PLAUR domain-containing protein 1,Neurology
lypd3,LYPD3,Ly6/PLAUR domain-containing protein 3,Oncology
lypd8,LYPD8,Ly6/PLAUR domain-containing protein 8,Oncology
lypla2,LYPLA2,Acyl-protein thioesterase 2,Neurology_II
lysmd3,LYSMD3,LysM and putative peptidoglycan-binding domain-containing protein 3,Neurology_II
lyve1,LYVE1,Lymphatic vessel endothelial hyaluronic acid receptor 1,Inflammation_II
lyzl2,LYZL2,Lysozyme-like protein 2,Oncology_II
lztfl1,LZTFL1,Leucine zipper transcription factor-like protein 1,Inflammation_II
m6pr,M6PR,Cation-dependent mannose-6-phosphate receptor,Cardiometabolic_II
mad1l1,MAD1L1,Mitotic spindle assembly checkpoint protein MAD1,Neurology
maea,MAEA,E3 ubiquitin-protein transferase MAEA,Oncology
mag,MAG,Myelin-associated glycoprotein,Neurology_II
magea3,MAGEA3,Melanoma-associated antigen 3,Oncology_II
maged1,MAGED1,Melanoma-associated antigen D1,Oncology
mamdc2,MAMDC2,MAM domain-containing protein 2,Cardiometabolic_II
mamdc4,MAMDC4,Apical endosomal glycoprotein,Oncology_II
man1a2,MAN1A2,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",Cardiometabolic_II
man2b2,MAN2B2,Epididymis-specific alpha-mannosidase,Cardiometabolic_II
maneal,MANEAL,"Glycoprotein endo-alpha-1,2-mannosidase-like protein",Oncology_II
manf,MANF,Mesencephalic astrocyte-derived neurotrophic factor,Inflammation
mansc1,MANSC1,MANSC domain-containing protein 1,Oncology
mansc4,MANSC4,MANSC domain-containing protein 4,Cardiometabolic_II
map1lc3a,MAP1LC3A,Microtubule-associated proteins 1A/1B light chain 3A,Neurology_II
map1lc3b2,MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,Cardiometabolic_II
map2,MAP2,Microtubule-associated protein 2,Neurology_II
map2k1,MAP2K1,Dual specificity mitogen-activated protein kinase kinase 1,Oncology_II
map2k6,MAP2K6,Dual specificity mitogen-activated protein kinase kinase 6,Inflammation
map3k5,MAP3K5,Mitogen-activated protein kinase kinase kinase 5,Oncology
map4k5,MAP4K5,Mitogen-activated protein kinase kinase kinase kinase 5,Neurology
mapk13,MAPK13,Mitogen-activated protein kinase 13,Oncology_II
mapk9,MAPK9,Mitogen-activated protein kinase 9,Inflammation
mapkapk2,MAPKAPK2,MAP kinase-activated protein kinase 2,Oncology_II
mapre3,MAPRE3,Microtubule-associated protein RP/EB family member 3,Oncology_II
mapt,MAPT,Microtubule-associated protein tau,Neurology
marco,MARCO,Macrophage receptor MARCO,Cardiometabolic
mars1,MARS1,"Methionine--tRNA ligase, cytoplasmic",Inflammation_II
masp1,MASP1,Mannan-binding lectin serine protease 1,Neurology
matn2,MATN2,Matrilin-2,Inflammation
matn3,MATN3,Matrilin-3,Neurology
mavs,MAVS,Mitochondrial antiviral-signaling protein,Oncology
max,MAX,Protein max,Neurology
mb,MB,Myoglobin,Cardiometabolic
mbl2,MBL2,Mannose-binding protein C,Inflammation_II
