Variable	Protein	Protein_meaning
lrrfip1	LRRFIP1	Leucine-rich repeat flightless-interacting protein 1
lrrn1	LRRN1	Leucine-rich repeat neuronal protein 1
lrtm1	LRTM1	Leucine-rich repeat and transmembrane domain-containing protein 1
lrtm2	LRTM2	Leucine-rich repeat and transmembrane domain-containing protein 2
lsm1	LSM1	U6 snRNA-associated Sm-like protein LSm1
lsm8	LSM8	U6 snRNA-associated Sm-like protein LSm8
lsp1	LSP1	Lymphocyte-specific protein 1
lta	LTA	Lymphotoxin-alpha
lta4h	LTA4H	Leukotriene A-4 hydrolase
ltb	LTB	Lymphotoxin-beta
ltbp2	LTBP2	Latent-transforming growth factor beta-binding protein 2
ltbp3	LTBP3	Latent-transforming growth factor beta-binding protein 3
ltbr	LTBR	Tumor necrosis factor receptor superfamily member 3
lto1	LTO1	Protein LTO1 homolog
luzp2	LUZP2	Leucine zipper protein 2
lxn	LXN	Latexin
ly6d	LY6D	Lymphocyte antigen 6D
ly75	LY75	Lymphocyte antigen 75
ly9	LY9	T-lymphocyte surface antigen Ly-9
ly96	LY96	Lymphocyte antigen 96
lyar	LYAR	Cell growth-regulating nucleolar protein
lyn	LYN	Tyrosine-protein kinase Lyn
lypd1	LYPD1	Ly6/PLAUR domain-containing protein 1
lypd3	LYPD3	Ly6/PLAUR domain-containing protein 3
lypd8	LYPD8	Ly6/PLAUR domain-containing protein 8
lypla2	LYPLA2	Acyl-protein thioesterase 2
lysmd3	LYSMD3	LysM and putative peptidoglycan-binding domain-containing protein 3
lyve1	LYVE1	Lymphatic vessel endothelial hyaluronic acid receptor 1
lyzl2	LYZL2	Lysozyme-like protein 2
lztfl1	LZTFL1	Leucine zipper transcription factor-like protein 1
m6pr	M6PR	Cation-dependent mannose-6-phosphate receptor
mad1l1	MAD1L1	Mitotic spindle assembly checkpoint protein MAD1
maea	MAEA	E3 ubiquitin-protein transferase MAEA
mag	MAG	Myelin-associated glycoprotein
magea3	MAGEA3	Melanoma-associated antigen 3
maged1	MAGED1	Melanoma-associated antigen D1
mamdc2	MAMDC2	MAM domain-containing protein 2
mamdc4	MAMDC4	Apical endosomal glycoprotein
man1a2	MAN1A2	"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB"
man2b2	MAN2B2	Epididymis-specific alpha-mannosidase
maneal	MANEAL	"Glycoprotein endo-alpha-1,2-mannosidase-like protein"
manf	MANF	Mesencephalic astrocyte-derived neurotrophic factor
mansc1	MANSC1	MANSC domain-containing protein 1
mansc4	MANSC4	MANSC domain-containing protein 4
map1lc3a	MAP1LC3A	Microtubule-associated proteins 1A/1B light chain 3A
map1lc3b2	MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2
map2	MAP2	Microtubule-associated protein 2
map2k1	MAP2K1	Dual specificity mitogen-activated protein kinase kinase 1
map2k6	MAP2K6	Dual specificity mitogen-activated protein kinase kinase 6
map3k5	MAP3K5	Mitogen-activated protein kinase kinase kinase 5
map4k5	MAP4K5	Mitogen-activated protein kinase kinase kinase kinase 5
mapk13	MAPK13	Mitogen-activated protein kinase 13
mapk9	MAPK9	Mitogen-activated protein kinase 9
mapkapk2	MAPKAPK2	MAP kinase-activated protein kinase 2
mapre3	MAPRE3	Microtubule-associated protein RP/EB family member 3
mapt	MAPT	Microtubule-associated protein tau
marco	MARCO	Macrophage receptor MARCO
mars1	MARS1	"Methionine--tRNA ligase, cytoplasmic"
masp1	MASP1	Mannan-binding lectin serine protease 1
matn2	MATN2	Matrilin-2
matn3	MATN3	Matrilin-3
mavs	MAVS	Mitochondrial antiviral-signaling protein
max	MAX	Protein max
mb	MB	Myoglobin
mbl2	MBL2	Mannose-binding protein C
mcam	MCAM	Cell surface glycoprotein MUC18
mcee	MCEE	"Methylmalonyl-CoA epimerase, mitochondrial"
mcemp1	MCEMP1	Mast cell-expressed membrane protein 1
mcfd2	MCFD2	Multiple coagulation factor deficiency protein 2
mcts1	MCTS1	Malignant T-cell-amplified sequence 1
mdga1	MDGA1	MAM domain-containing glycosylphosphatidylinositol anchor protein 1
mdh1	MDH1	"Malate dehydrogenase, cytoplasmic"
mdk	MDK	Midkine
mdm1	MDM1	Nuclear protein MDM1
mecr	MECR	"Enoyl-[acyl-carrier-protein] reductase, mitochondrial"
med18	MED18	Mediator of RNA polymerase II transcription subunit 18
med21	MED21	Mediator of RNA polymerase II transcription subunit 21
megf10	MEGF10	Multiple epidermal growth factor-like domains protein 10
megf11	MEGF11	Multiple epidermal growth factor-like domains protein 11
megf9	MEGF9	Multiple epidermal growth factor-like domains protein 9
meltf	MELTF	Melanotransferrin
ment	MENT	Protein MENT
mep1a	MEP1A	Meprin A subunit alpha
mep1b	MEP1B	Meprin A subunit beta
mepe	MEPE	Matrix extracellular phosphoglycoprotein
mertk	MERTK	Tyrosine-protein kinase Mer
mesd	MESD	LRP chaperone MESD
met	MET	Hepatocyte growth factor receptor
metap1	METAP1	Methionine aminopeptidase 1
metap1d	METAP1D	"Methionine aminopeptidase 1D, mitochondrial"
metap2	METAP2	Methionine aminopeptidase 2
mfap3	MFAP3	Microfibril-associated glycoprotein 3
mfap3l	MFAP3L	Microfibrillar-associated protein 3-like
mfap4	MFAP4	Microfibril-associated glycoprotein 4
mfap5	MFAP5	Microfibrillar-associated protein 5
mfge8	MFGE8	Lactadherin
mgll	MGLL	Monoglyceride lipase
mgmt	MGMT	Methylated-DNA--protein-cysteine methyltransferase
mia	MIA	Melanoma-derived growth regulatory protein
micall2	MICALL2	MICAL-like protein 2
micb_mica	MICB_MICA	MHC class I polypeptide-related sequence A_MHC class I polypeptide-related sequence B
mif	MIF	Macrophage migration inhibitory factor
milr1	MILR1	Allergin-1
mindy1	MINDY1	Ubiquitin carboxyl-terminal hydrolase MINDY-1
mink1	MINK1	Misshapen-like kinase 1
mitd1	MITD1	MIT domain-containing protein 1
mki67	MKI67	Proliferation marker protein Ki-67
mllt1	MLLT1	Protein ENL
mln	MLN	Promotilin
mme	MME	Neprilysin
mmp1	MMP1	Interstitial collagenase
mmp10	MMP10	Stromelysin-2
mmp12	MMP12	Macrophage metalloelastase
mmp13	MMP13	Collagenase 3
mmp15	MMP15	Matrix metalloproteinase-15
mmp3	MMP3	Stromelysin-1
mmp7	MMP7	Matrilysin
mmp8	MMP8	Neutrophil collagenase
mmp9	MMP9	Matrix metalloproteinase-9
mmut	MMUT	"Methylmalonyl-CoA mutase, mitochondrial"
mn1	MN1	Transcriptional activator MN1
mnat1	MNAT1	CDK-activating kinase assembly factor MAT1
mnda	MNDA	Myeloid cell nuclear differentiation antigen
mocs2	MOCS2	Molybdopterin synthase catalytic subunit
mog	MOG	Myelin-oligodendrocyte glycoprotein
morc3	MORC3	MORC family CW-type zinc finger protein 3
morf4l1	MORF4L1	Mortality factor 4-like protein 1
morf4l2	MORF4L2	Mortality factor 4-like protein 2
morn4	MORN4	MORN repeat-containing protein 4
mphosph8	MPHOSPH8	M-phase phosphoprotein 8
mpi	MPI	Mannose-6-phosphate isomerase
mpig6b	MPIG6B	Megakaryocyte and platelet inhibitory receptor G6b
mpo	MPO	Myeloperoxidase
mprip	MPRIP	Myosin phosphatase Rho-interacting protein
mrc1	MRC1	Macrophage mannose receptor 1
mri1	MRI1	Methylthioribose-1-phosphate isomerase
mrpl24	MRPL24	"39S ribosomal protein L24, mitochondrial"
mrpl28	MRPL28	"39S ribosomal protein L28, mitochondrial"
mrpl46	MRPL46	"39S ribosomal protein L46, mitochondrial"
mrpl52	MRPL52	"39S ribosomal protein L52, mitochondrial"
mrpl58	MRPL58	"Peptidyl-tRNA hydrolase ICT1, mitochondrial"
mrps16	MRPS16	"28S ribosomal protein S16, mitochondrial"
msln	MSLN	Mesothelin
mslnl	MSLNL	Mesothelin-like protein
msmb	MSMB	Beta-microseminoprotein
msr1	MSR1	Macrophage scavenger receptor types I and II
msra	MSRA	Mitochondrial peptide methionine sulfoxide reductase
mst1	MST1	Hepatocyte growth factor-like protein
mstn	MSTN	Growth/differentiation factor 8
mtdh	MTDH	Protein LYRIC
mthfd2	MTHFD2	"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial"
mthfsd	MTHFSD	Methenyltetrahydrofolate synthase domain-containing protein
mtif3	MTIF3	"Translation initiation factor IF-3, mitochondrial"
mtpn	MTPN	Myotrophin
mtr	MTR	Methionine synthase
mtss1	MTSS1	Protein MTSS 1
mtss2	MTSS2	Protein MTSS 2
mtus1	MTUS1	Microtubule-associated tumor suppressor 1
muc13	MUC13	Mucin-13
muc16	MUC16	Mucin-16
muc2	MUC2	Mucin-2
mucl3	MUCL3	Mucin-like protein 3
mvk	MVK	Mevalonate kinase
mxra8	MXRA8	Matrix remodeling-associated protein 8
mybpc1	MYBPC1	"Myosin-binding protein C, slow-type"
mybpc2	MYBPC2	"Myosin-binding protein C, fast-type"
mycbp2	MYCBP2	E3 ubiquitin-protein ligase MYCBP2
mydgf	MYDGF	Myeloid-derived growth factor
myh4	MYH4	Myosin-4
myh7b	MYH7B	Myosin-7B
myh9	MYH9	Myosin-9
myl1	MYL1	"Myosin light chain 1/3, skeletal muscle isoform"
myl3	MYL3	Myosin light chain 3
myl4	MYL4	Myosin light chain 4
myl6b	MYL6B	Myosin light chain 6B
mylpf	MYLPF	"Myosin regulatory light chain 2, skeletal muscle isoform"
myo6	MYO6	Unconventional myosin-VI
myo9b	MYO9B	Unconventional myosin-IXb
myoc	MYOC	Myocilin
myom1	MYOM1	Myomesin-1
myom2	MYOM2	Myomesin-2
myom3	MYOM3	Myomesin-3
mzb1	MZB1	Marginal zone B- and B1-cell-specific protein
mzt1	MZT1	Mitotic-spindle organizing protein 1
naa10	NAA10	N-alpha-acetyltransferase 10
naa80	NAA80	N-alpha-acetyltransferase 80
naaa	NAAA	N-acylethanolamine-hydrolyzing acid amidase
nacc1	NACC1	Nucleus accumbens-associated protein 1
nadk	NADK	NAD kinase
naga	NAGA	Alpha-N-acetylgalactosaminidase
nagk	NAGK	N-acetyl-D-glucosamine kinase
nagpa	NAGPA	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase
nampt	NAMPT	Nicotinamide phosphoribosyltransferase
nap1l4	NAP1L4	Nucleosome assembly protein 1-like 4
naprt	NAPRT	Nicotinate phosphoribosyltransferase
nars1	NARS1	"Asparagine--tRNA ligase, cytoplasmic"
nbl1	NBL1	Neuroblastoma suppressor of tumorigenicity 1
nbn	NBN	Nibrin
ncam1	NCAM1	Neural cell adhesion molecule 1
ncam2	NCAM2	Neural cell adhesion molecule 2
ncan	NCAN	Neurocan core protein
ncf2	NCF2	Neutrophil cytosol factor 2
nck2	NCK2	Cytoplasmic protein NCK2
ncln	NCLN	Nicalin
ncr1	NCR1	Natural cytotoxicity triggering receptor 1
ncr3lg1	NCR3LG1	Natural cytotoxicity triggering receptor 3 ligand 1
ncs1	NCS1	Neuronal calcium sensor 1
ndrg1	NDRG1	Protein NDRG1
ndst1	NDST1	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1
ndufa5	NDUFA5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5
ndufb7	NDUFB7	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7
ndufs6	NDUFS6	"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial"
neb	NEB	Nebulin
necap2	NECAP2	Adaptin ear-binding coat-associated protein 2
nectin1	NECTIN1	Nectin-1
nectin2	NECTIN2	Nectin-2
nectin4	NECTIN4	Nectin-4
nedd4l	NEDD4L	E3 ubiquitin-protein ligase NEDD4-like
nedd9	NEDD9	Enhancer of filamentation 1
nefl	NEFL	Neurofilament light polypeptide
nek7	NEK7	Serine/threonine-protein kinase Nek7
nell1	NELL1	Protein kinase C-binding protein NELL1
nell2	NELL2	Protein kinase C-binding protein NELL2
nenf	NENF	Neudesin
neo1	NEO1	Neogenin
nexn	NEXN	Nexilin
nfasc	NFASC	Neurofascin
nfat5	NFAT5	Nuclear factor of activated T-cells 5
nfatc1	NFATC1	"Nuclear factor of activated T-cells, cytoplasmic 1"
nfatc3	NFATC3	"Nuclear factor of activated T-cells, cytoplasmic 3"
nfe2	NFE2	Transcription factor NF-E2 45 kDa subunit
nfic	NFIC	Nuclear factor 1 C-type
nfkb1	NFKB1	Nuclear factor NF-kappa-B p105 subunit
nfkb2	NFKB2	Nuclear factor NF-kappa-B p100 subunit
nfkbie	NFKBIE	NF-kappa-B inhibitor epsilon
nfu1	NFU1	"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial"
nfx1	NFX1	Transcriptional repressor NF-X1
nfya	NFYA	Nuclear transcription factor Y subunit alpha
ngf	NGF	Beta-nerve growth factor
ngfr	NGFR	Tumor necrosis factor receptor superfamily member 16
ngrn	NGRN	Neugrin
nhlrc3	NHLRC3	NHL repeat-containing protein 3
nid1	NID1	Nidogen-1
nid2	NID2	Nidogen-2
ninj1	NINJ1	Ninjurin-1
nit1	NIT1	Deaminated glutathione amidase
nit2	NIT2	Omega-amidase NIT2
nlgn1	NLGN1	Neuroligin-1
nlgn2	NLGN2	Neuroligin-2
nme1	NME1	Nucleoside diphosphate kinase A
nme3	NME3	Nucleoside diphosphate kinase 3
nmi	NMI	N-myc-interactor
nmnat1	NMNAT1	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1
nmrk2	NMRK2	Nicotinamide riboside kinase 2
nmt1	NMT1	Glycylpeptide N-tetradecanoyltransferase 1
nomo1	NOMO1	Nodal modulator 1
nop56	NOP56	Nucleolar protein 56
nos1	NOS1	"Nitric oxide synthase, brain"
nos2	NOS2	"Nitric oxide synthase, inducible"
nos3	NOS3	"Nitric oxide synthase, endothelial"
notch1	NOTCH1	Neurogenic locus notch homolog protein 1
notch2	NOTCH2	Neurogenic locus notch homolog protein 2
notch3	NOTCH3	Neurogenic locus notch homolog protein 3
npc2	NPC2	NPC intracellular cholesterol transporter 2
npdc1	NPDC1	Neural proliferation differentiation and control protein 1
nphs1	NPHS1	Nephrin
nphs2	NPHS2	Podocin
npl	NPL	N-acetylneuraminate lyase
npm1	NPM1	Nucleophosmin
nppb	NPPB	Natriuretic peptides B
nppc	NPPC	C-type natriuretic peptide
npr1	NPR1	Atrial natriuretic peptide receptor 1
nptn	NPTN	Neuroplastin
nptx1	NPTX1	Neuronal pentraxin-1
nptx2	NPTX2	Neuronal pentraxin-2
nptxr	NPTXR	Neuronal pentraxin receptor
npy	NPY	Pro-neuropeptide Y
nrcam	NRCAM	Neuronal cell adhesion molecule
nrgn	NRGN	Neurogranin
nrn1	NRN1	Neuritin
nrp1	NRP1	Neuropilin-1
nrp2	NRP2	Neuropilin-2
nrtn	NRTN	Neurturin
nrxn3	NRXN3	Neurexin-3
nsfl1c	NSFL1C	NSFL1 cofactor p47
nt5c	NT5C	"5'(3')-deoxyribonucleotidase, cytosolic type"
nt5c1a	NT5C1A	Cytosolic 5'-nucleotidase 1A
nt5c3a	NT5C3A	Cytosolic 5'-nucleotidase 3A
nt5e	NT5E	5'-nucleotidase
ntf3	NTF3	Neurotrophin-3
ntf4	NTF4	Neurotrophin-4
ntprobnp	NTproBNP	N-terminal prohormone of brain natriuretic peptide
ntrk2	NTRK2	BDNF/NT-3 growth factors receptor
ntrk3	NTRK3	NT-3 growth factor receptor
nub1	NUB1	NEDD8 ultimate buster 1
nubp1	NUBP1	Cytosolic Fe-S cluster assembly factor NUBP1
nucb2	NUCB2	Nucleobindin-2
nudc	NUDC	Nuclear migration protein nudC
nudt10	NUDT10	Diphosphoinositol polyphosphate phosphohydrolase 3-alpha
nudt15	NUDT15	Nucleotide triphosphate diphosphatase NUDT15
nudt16	NUDT16	U8 snoRNA-decapping enzyme
nudt2	NUDT2	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]
nudt5	NUDT5	ADP-sugar pyrophosphatase
numb	NUMB	Protein numb homolog
nup50	NUP50	Nuclear pore complex protein Nup50
nxpe4	NXPE4	NXPE family member 4
nxph1	NXPH1	Neurexophilin-1
nxph3	NXPH3	Neurexophilin-3
obp2b	OBP2B	Odorant-binding protein 2b
ocln	OCLN	Occludin
odam	ODAM	Odontogenic ameloblast-associated protein
ofd1	OFD1	Oral-facial-digital syndrome 1 protein
oga	OGA	Protein O-GlcNAcase
ogfr	OGFR	Opioid growth factor receptor
ogn	OGN	Mimecan
ogt	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit
olfm4	OLFM4	Olfactomedin-4
olr1	OLR1	Oxidized low-density lipoprotein receptor 1
omd	OMD	Osteomodulin
omg	OMG	Oligodendrocyte-myelin glycoprotein
omp	OMP	Olfactory marker protein
ophn1	OPHN1	Oligophrenin-1
oplah	OPLAH	5-oxoprolinase
optc	OPTC	Opticin
orm1	ORM1	Alpha-1-acid glycoprotein 1
osbpl2	OSBPL2	Oxysterol-binding protein-related protein 2
oscar	OSCAR	Osteoclast-associated immunoglobulin-like receptor
osm	OSM	Oncostatin-M
osmr	OSMR	Oncostatin-M-specific receptor subunit beta
ostn	OSTN	Osteocrin
otoa	OTOA	Otoancorin
otud6b	OTUD6B	Deubiquitinase OTUD6B
otud7b	OTUD7B	OTU domain-containing protein 7B
oxct1	OXCT1	"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial"
oxt	OXT	Oxytocin-neurophysin 1
p4hb	P4HB	Protein disulfide-isomerase
pacs2	PACS2	Phosphofurin acidic cluster sorting protein 2
padi2	PADI2	Protein-arginine deiminase type-2
padi4	PADI4	Protein-arginine deiminase type-4
paep	PAEP	Glycodelin
pafah1b3	PAFAH1B3	Platelet-activating factor acetylhydrolase IB subunit alpha1
pafah2	PAFAH2	"Platelet-activating factor acetylhydrolase 2, cytoplasmic"
pag1	PAG1	Phosphoprotein associated with glycosphingolipid-enriched microdomains 1
pagr1	PAGR1	PAXIP1-associated glutamate-rich protein 1
paip2b	PAIP2B	Polyadenylate-binding protein-interacting protein 2B
pak4	PAK4	Serine/threonine-protein kinase PAK 4
palld	PALLD	Palladin
palm	PALM	Paralemmin-1
palm2	PALM2	Paralemmin-2
palm3	PALM3	Paralemmin-3
pam	PAM	Peptidyl-glycine alpha-amidating monooxygenase
pamr1	PAMR1	Inactive serine protease PAMR1
pappa	PAPPA	Pappalysin-1
pard3	PARD3	Partitioning defective 3 homolog
park7	PARK7	Parkinson disease protein 7
parp1	PARP1	Poly [ADP-ribose] polymerase 1
paxx	PAXX	Protein PAXX
pbk	PBK	Lymphokine-activated killer T-cell-originated protein kinase
pbld	PBLD	Phenazine biosynthesis-like domain-containing protein
pbxip1	PBXIP1	Pre-B-cell leukemia transcription factor-interacting protein 1
pcare	PCARE	Photoreceptor cilium actin regulator
pcbd1	PCBD1	Pterin-4-alpha-carbinolamine dehydratase
pcbp2	PCBP2	Poly(rC)-binding protein 2
pcdh1	PCDH1	Protocadherin-1
pcdh12	PCDH12	Protocadherin-12
pcdh17	PCDH17	Protocadherin-17
pcdh7	PCDH7	Protocadherin-7
pcdh9	PCDH9	Protocadherin-9
pcdhb15	PCDHB15	Protocadherin beta-15
pcna	PCNA	Proliferating cell nuclear antigen
pcolce	PCOLCE	Procollagen C-endopeptidase enhancer 1
pcsk7	PCSK7	Proprotein convertase subtilisin/kexin type 7
pcsk9	PCSK9	Proprotein convertase subtilisin/kexin type 9
pcyt2	PCYT2	Ethanolamine-phosphate cytidylyltransferase
pdap1	PDAP1	28 kDa heat- and acid-stable phosphoprotein
pdcd1	PDCD1	Programmed cell death protein 1
pdcd1lg2	PDCD1LG2	Programmed cell death 1 ligand 2
pdcd5	PDCD5	Programmed cell death protein 5
pdcd6	PDCD6	Programmed cell death protein 6
pdcl2	PDCL2	Phosducin-like protein 2
pde1c	PDE1C	"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C"
pde4d	PDE4D	"cAMP-specific 3',5'-cyclic phosphodiesterase 4D"
pde5a	PDE5A	"cGMP-specific 3',5'-cyclic phosphodiesterase"
pdgfa	PDGFA	Platelet-derived growth factor subunit A
pdgfb	PDGFB	Platelet-derived growth factor subunit B
pdgfc	PDGFC	Platelet-derived growth factor C
pdgfra	PDGFRA	Platelet-derived growth factor receptor alpha
pdgfrb	PDGFRB	Platelet-derived growth factor receptor beta
pdia2	PDIA2	Protein disulfide-isomerase A2
pdia3	PDIA3	Protein disulfide-isomerase A3
pdia4	PDIA4	Protein disulfide-isomerase A4
pdia5	PDIA5	Protein disulfide-isomerase A5
pdlim5	PDLIM5	PDZ and LIM domain protein 5
pdlim7	PDLIM7	PDZ and LIM domain protein 7
pdp1	PDP1	"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial"
pdrg1	PDRG1	p53 and DNA damage-regulated protein 1
pdxdc1	PDXDC1	Pyridoxal-dependent decarboxylase domain-containing protein 1
pdzd2	PDZD2	PDZ domain-containing protein 2
pdzk1	PDZK1	Na(+)/H(+) exchange regulatory cofactor NHE-RF3
pear1	PEAR1	Platelet endothelial aggregation receptor 1
pebp1	PEBP1	Phosphatidylethanolamine-binding protein 1
pecam1	PECAM1	Platelet endothelial cell adhesion molecule
pecr	PECR	Peroxisomal trans-2-enoyl-CoA reductase
penk	PENK	Proenkephalin-A
pepd	PEPD	Xaa-Pro dipeptidase
per3	PER3	Period circadian protein homolog 3
pf4	PF4	Platelet factor 4
pfdn2	PFDN2	Prefoldin subunit 2
pfdn4	PFDN4	Prefoldin subunit 4
pfdn6	PFDN6	Prefoldin subunit 6
pfkfb2	PFKFB2	"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2"
pga4	PGA4	Pepsin A-4
pgd	PGD	"6-phosphogluconate dehydrogenase, decarboxylating"
pgf	PGF	Placenta growth factor
pglyrp1	PGLYRP1	Peptidoglycan recognition protein 1
pglyrp2	PGLYRP2	N-acetylmuramoyl-L-alanine amidase
pglyrp4	PGLYRP4	Peptidoglycan recognition protein 4
pgm2	PGM2	Phosphoglucomutase-2
pgr	PGR	Progesterone receptor
phactr2	PHACTR2	Phosphatase and actin regulator 2
phldb1	PHLDB1	Pleckstrin homology-like domain family B member 1
phldb2	PHLDB2	Pleckstrin homology-like domain family B member 2
phospho1	PHOSPHO1	Phosphoethanolamine/phosphocholine phosphatase
phykpl	PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase
pi16	PI16	Peptidase inhibitor 16
pi3	PI3	Elafin
pibf1	PIBF1	"Progesterone-induced-blocking factor 1, Isoform 4"
pigr	PIGR	Polymeric immunoglobulin receptor
pik3ap1	PIK3AP1	Phosphoinositide 3-kinase adapter protein 1
pik3ip1	PIK3IP1	Phosphoinositide-3-kinase-interacting protein 1
pikfyve	PIKFYVE	1-phosphatidylinositol 3-phosphate 5-kinase
pilra	PILRA	Paired immunoglobulin-like type 2 receptor alpha
pilrb	PILRB	Paired immunoglobulin-like type 2 receptor beta
pinlyp	PINLYP	phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein
pithd1	PITHD1	PITH domain-containing protein 1
pkd1	PKD1	Polycystin-1
pkd2	PKD2	Polycystin-2
pklr	PKLR	Pyruvate kinase PKLR
pkn3	PKN3	Serine/threonine-protein kinase N3
pla2g10	PLA2G10	Group 10 secretory phospholipase A2
pla2g15	PLA2G15	Phospholipase A2 group XV
pla2g1b	PLA2G1B	Phospholipase A2
pla2g2a	PLA2G2A	"Phospholipase A2, membrane associated"
pla2g4a	PLA2G4A	Cytosolic phospholipase A2
pla2g7	PLA2G7	Platelet-activating factor acetylhydrolase
plat	PLAT	Tissue-type plasminogen activator
plau	PLAU	Urokinase-type plasminogen activator
plaur	PLAUR	Urokinase plasminogen activator surface receptor
plb1	PLB1	"Phospholipase B1, membrane-associated"
plcb1	PLCB1	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1"
plcb2	PLCB2	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2"
plekho1	PLEKHO1	Pleckstrin homology domain-containing family O member 1
plg	PLG	Plasminogen
plin1	PLIN1	Perilipin-1
plin3	PLIN3	Perilipin-3
plpbp	PLPBP	Pyridoxal phosphate homeostasis protein
plscr3	PLSCR3	Phospholipid scramblase 3
pltp	PLTP	Phospholipid transfer protein
plxdc1	PLXDC1	Plexin domain-containing protein 1
plxdc2	PLXDC2	Plexin domain-containing protein 2
plxna4	PLXNA4	Plexin-A4
plxnb2	PLXNB2	Plexin-B2
plxnb3	PLXNB3	Plexin-B3
pm20d1	PM20D1	N-fatty-acyl-amino acid synthase/hydrolase PM20D1
pmch	PMCH	Pro-MCH
pmm2	PMM2	Phosphomannomutase 2
pms1	PMS1	PMS1 protein homolog 1
pmvk	PMVK	Phosphomevalonate kinase
pnlip	PNLIP	Pancreatic triacylglycerol lipase
pnliprp1	PNLIPRP1	Inactive pancreatic lipase-related protein 1
pnliprp2	PNLIPRP2	Pancreatic lipase-related protein 2
pnma1	PNMA1	Paraneoplastic antigen Ma1
pnma2	PNMA2	Paraneoplastic antigen Ma2
pnpt1	PNPT1	"Polyribonucleotide nucleotidyltransferase 1, mitochondrial"
podxl	PODXL	Podocalyxin
podxl2	PODXL2	Podocalyxin-like protein 2
pof1b	POF1B	Protein POF1B
polr2a	POLR2A	DNA-directed RNA polymerase II subunit RPB1
polr2f	POLR2F	"DNA-directed RNA polymerases I, II, and III subunit RPABC2"
pomc	POMC	Pro-opiomelanocortin
pon1	PON1	Serum paraoxonase/arylesterase 1
pon2	PON2	Serum paraoxonase/arylesterase 2
pon3	PON3	Serum paraoxonase/lactonase 3
postn	POSTN	Periostin
ppbp	PPBP	Platelet basic protein
ppcdc	PPCDC	Phosphopantothenoylcysteine decarboxylase
ppib	PPIB	Peptidyl-prolyl cis-trans isomerase B
ppie	PPIE	Peptidyl-prolyl cis-trans isomerase E
ppif	PPIF	"Peptidyl-prolyl cis-trans isomerase F, mitochondrial"
ppl	PPL	Periplakin
ppm1a	PPM1A	Protein phosphatase 1A
ppm1b	PPM1B	Protein phosphatase 1B
ppm1f	PPM1F	Protein phosphatase 1F
ppme1	PPME1	Protein phosphatase methylesterase 1
ppp1cc	PPP1CC	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit
ppp1r12a	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A
ppp1r12b	PPP1R12B	Protein phosphatase 1 regulatory subunit 12B
ppp1r14a	PPP1R14A	Protein phosphatase 1 regulatory subunit 14A
ppp1r14d	PPP1R14D	Protein phosphatase 1 regulatory subunit 14D
ppp1r2	PPP1R2	Protein phosphatase inhibitor 2
ppp1r9b	PPP1R9B	Neurabin-2
ppp2r5a	PPP2R5A	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform
ppp3r1	PPP3R1	Calcineurin subunit B type 1
ppt1	PPT1	Palmitoyl-protein thioesterase 1
ppy	PPY	Pancreatic prohormone
pqbp1	PQBP1	Polyglutamine-binding protein 1
prame	PRAME	Melanoma antigen preferentially expressed in tumors
prap1	PRAP1	Proline-rich acidic protein 1
prc1	PRC1	Protein regulator of cytokinesis 1
prcp	PRCP	Lysosomal Pro-X carboxypeptidase
prdx1	PRDX1	Peroxiredoxin-1
prdx2	PRDX2	Peroxiredoxin-2
prdx3	PRDX3	"Thioredoxin-dependent peroxide reductase, mitochondrial"
prdx5	PRDX5	"Peroxiredoxin-5, mitochondrial"
prdx6	PRDX6	Peroxiredoxin-6
preb	PREB	Prolactin regulatory element-binding protein
prelp	PRELP	Prolargin
prg2	PRG2	Bone marrow proteoglycan
prg3	PRG3	Proteoglycan 3
prkab1	PRKAB1	5'-AMP-activated protein kinase subunit beta-1
prkag3	PRKAG3	5'-AMP-activated protein kinase subunit gamma-3
